"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"169"	"Div5_set2"	"Mid"	"B12"	"NaCl"	0.09	"percent"	NA	"r"	0.0499429006978841	6.72045364882384
"170"	"Div5_set2"	"Mid"	"B11"	"NaCl"	0.14	"percent"	NA	"K"	0.122894335002706	12.3389434085778
"171"	"Div5_set2"	"Mid"	"B11"	"NaCl"	0.14	"percent"	NA	"l"	15.9107747044125	12.3389434085778
"172"	"Div5_set2"	"Mid"	"B11"	"NaCl"	0.14	"percent"	NA	"r"	0.00927700441656724	12.3389434085778
"173"	"Div5_set2"	"Mid"	"B10"	"NaCl"	0.22	"percent"	NA	"K"	0.155957847830584	15.8324607235527
"174"	"Div5_set2"	"Mid"	"B10"	"NaCl"	0.22	"percent"	NA	"l"	15.0684618958112	15.8324607235527
"175"	"Div5_set2"	"Mid"	"B10"	"NaCl"	0.22	"percent"	NA	"r"	0.0122054203343878	15.8324607235527
"176"	"Div5_set2"	"Mid"	"B09"	"NaCl"	0.33	"percent"	NA	"K"	0.148444138579447	14.9144699517637
"177"	"Div5_set2"	"Mid"	"B09"	"NaCl"	0.33	"percent"	NA	"l"	17.9027241591009	14.9144699517637
"178"	"Div5_set2"	"Mid"	"B09"	"NaCl"	0.33	"percent"	NA	"r"	0.0153112578043159	14.9144699517637
"179"	"Div5_set2"	"Mid"	"B08"	"NaCl"	0.5	"percent"	NA	"K"	0.156276704342274	15.8791864191388
"180"	"Div5_set2"	"Mid"	"B08"	"NaCl"	0.5	"percent"	NA	"l"	18.0885357448243	15.8791864191388
"181"	"Div5_set2"	"Mid"	"B08"	"NaCl"	0.5	"percent"	NA	"r"	0.0210773836739385	15.8791864191388
"182"	"Div5_set2"	"Mid"	"B07"	"NaCl"	0.77	"percent"	NA	"K"	0.115436597672454	11.7826043215515
"183"	"Div5_set2"	"Mid"	"B07"	"NaCl"	0.77	"percent"	NA	"l"	16.4636807861203	11.7826043215515
"184"	"Div5_set2"	"Mid"	"B07"	"NaCl"	0.77	"percent"	NA	"r"	0.0122528973393889	11.7826043215515
"185"	"Div5_set2"	"Mid"	"B06"	"NaCl"	1.18	"percent"	NA	"K"	0.133397245913343	13.2050297841951
"186"	"Div5_set2"	"Mid"	"B06"	"NaCl"	1.18	"percent"	NA	"l"	18.5653834402837	13.2050297841951
"187"	"Div5_set2"	"Mid"	"B06"	"NaCl"	1.18	"percent"	NA	"r"	0.0120106019696889	13.2050297841951
"188"	"Div5_set2"	"Mid"	"B05"	"NaCl"	1.81	"percent"	NA	"K"	0.142071368537127	13.3735451814417
"189"	"Div5_set2"	"Mid"	"B05"	"NaCl"	1.81	"percent"	NA	"l"	19.6086233066691	13.3735451814417
"190"	"Div5_set2"	"Mid"	"B05"	"NaCl"	1.81	"percent"	NA	"r"	0.00803538840491087	13.3735451814417
"191"	"Div5_set2"	"Mid"	"B04"	"NaCl"	2.76	"percent"	NA	"K"	0.0805354540502973	7.1492124414117
"192"	"Div5_set2"	"Mid"	"B04"	"NaCl"	2.76	"percent"	NA	"l"	26.5766039294772	7.1492124414117
"193"	"Div5_set2"	"Mid"	"B04"	"NaCl"	2.76	"percent"	NA	"r"	0.0054006631126108	7.1492124414117
"194"	"Div5_set2"	"Mid"	"B03"	"NaCl"	4.23	"percent"	NA	"K"	0.0366322249978331	1.164321898193
"195"	"Div5_set2"	"Mid"	"B03"	"NaCl"	4.23	"percent"	NA	"l"	69.547510054734	1.164321898193
"196"	"Div5_set2"	"Mid"	"B03"	"NaCl"	4.23	"percent"	NA	"r"	0.00089496815395397	1.164321898193
"197"	"Div5_set2"	"Mid"	"B02"	"NaCl"	6.47	"percent"	NA	NA	0	0
"198"	"Div5_set2"	"Mid"	"B01"	"NaCl"	9.9	"percent"	NA	NA	0	0
