sampling	CellsL	CellsD	CellsT	pDead	DIV	Tox	BOT	ToxC
08/10/13	1950400.777	39324.38947	1989725.167	1.976372925	2	0	2	0
08/10/13	1950400.777	39324.38947	1989725.167	1.976372925	2	0	43	0
08/10/13	1950400.777	39324.38947	1989725.167	1.976372925	2	0	44	0
08/10/13	1764804.001	43056.19335	1807860.194	2.381610785	2	0	2	0
08/10/13	1764804.001	43056.19335	1807860.194	2.381610785	2	0	43	0
08/10/13	1764804.001	43056.19335	1807860.194	2.381610785	2	0	44	0
08/10/13	1324634.285	41381.04346	1366015.328	3.029324972	3	4	1	1.58E-09
08/10/13	1803907.821	72396.22234	1876304.043	3.858448347	3	0	4	0
08/10/13	1803907.821	72396.22234	1876304.043	3.858448347	3	0	26	0
08/10/13	1803907.821	72396.22234	1876304.043	3.858448347	3	0	41	0
08/10/13	1632494.53	49001.48942	1681496.019	2.914160299	3	3	10	6.31E-09
08/10/13	2400304.01	33356.12815	2433660.138	1.370615709	3	5	16	3.98E-10
08/10/13	1351112.505	35187.68975	1386300.195	2.538244594	3	0	4	0
08/10/13	1351112.505	35187.68975	1386300.195	2.538244594	3	0	26	0
08/10/13	1351112.505	35187.68975	1386300.195	2.538244594	3	0	41	0
08/10/13	1546318.048	95672.71973	1641990.768	5.826629577	3	1	37	1.00E-07
08/10/13	1972432.939	20727.87992	1993160.819	1.0399502	3	6	40	1.00E-10
08/10/13	1827543.322	36122.60207	1863665.924	1.938255221	3	0	4	0
08/10/13	1827543.322	36122.60207	1863665.924	1.938255221	3	0	26	0
08/10/13	1827543.322	36122.60207	1863665.924	1.938255221	3	0	41	0
08/10/13	2173637.313	32609.93865	2206247.252	1.478072715	3	2	42	2.51E-08
08/10/13	1587651.318	118224.0911	1705875.409	6.930405965	4	0	6	0
08/10/13	1587651.318	118224.0911	1705875.409	6.930405965	4	0	8	0
08/10/13	1587651.318	118224.0911	1705875.409	6.930405965	4	0	29	0
08/10/13	1594810.137	28034.29466	1622844.432	1.72747887	4	0	6	0
08/10/13	1594810.137	28034.29466	1622844.432	1.72747887	4	0	8	0
08/10/13	1594810.137	28034.29466	1622844.432	1.72747887	4	0	29	0
08/10/13	2036763.877	31062.55841	2067826.436	1.502184026	4	2	14	2.51E-08
08/10/13	1539795.959	25241.30278	1565037.261	1.612824398	4	5	17	3.98E-10
08/10/13	568350.5591	31958.92202	600309.4811	5.323741007	4	0	6	0
08/10/13	568350.5591	31958.92202	600309.4811	5.323741007	4	0	8	0
08/10/13	568350.5591	31958.92202	600309.4811	5.323741007	4	0	29	0
08/10/13	1510525.82	26668.75256	1537194.572	1.734897654	4	4	39	1.58E-09
08/10/13	1338685.995	33609.11371	1372295.109	2.449117067	4	1	45	1.00E-07
08/10/13	1547842.39	28623.82055	1576466.21	1.815695152	4	6	47	1.00E-10
08/10/13	865004.9259	15770.88584	880775.8117	1.790567546	4	3	48	6.31E-09
08/10/13	644334.9689	33255.9984	677590.9673	4.90797546	5	0	9	0
08/10/13	644334.9689	33255.9984	677590.9673	4.90797546	5	0	11	0
08/10/13	644334.9689	33255.9984	677590.9673	4.90797546	5	0	30	0
08/10/13	452728.5534	27499.40071	480227.9541	5.726322359	5	0	9	0
08/10/13	452728.5534	27499.40071	480227.9541	5.726322359	5	0	11	0
08/10/13	452728.5534	27499.40071	480227.9541	5.726322359	5	0	30	0
08/10/13	1044844.056	32092.16705	1076936.223	2.979950563	5	1	13	1.00E-07
08/10/13	1713710.982	41159.17222	1754870.154	2.345425508	5	4	21	1.58E-09
08/10/13	485557.9276	29048.12099	514606.0486	5.644729802	5	0	9	0
